permno,name,sic,ticker
10138,T ROWE PRICE GROUP INC,6211,TROW
10562,SOVEREIGN BANCORP INC,6035,SOV
10725,CHARTER ONE FINANCIAL INC,6021,CF
11786,S V B FINANCIAL GROUP,6020,SIVB
12073,PEOPLES UNITED FINANCIAL INC,6030,PBCT
12345,LYONDELLBASELL INDUSTRIES N V,6719,LYB
12448,FIRST REPUBLIC BANK S F NEW,6022,FRC
13142,CAPRI HOLDINGS LTD,6719,CPRI
13760,NORWEGIAN CRUISE LINE HLDGS LTD,6719,NCLH
13901,ALTRIA GROUP INC,6719,MO
14277,A T F INC,6710,SLB
14297,ALLEGION PLC,6799,ALLE
14776,SYNCHRONY FINANCIAL,6021,SYF
14889,CITIZENS FINANCIAL GROUP INC,6022,CFG
15553,A G L RESOURCES INC,6719,GAS
15719,FOUR CORNERS PROPERTY TRUST INC,6798,FCPT
16342,ADIENT PLC,6799,ADNT
16343,YUM CHINA HOLDINGS INC,6799,YUMC
16346,QUALITY CARE PROPERTIES INC,6798,QCP
17478,S & P GLOBAL INC,6282,SPGI
17676,NVENT ELECTRIC PLC,6733,NVT
17743,BERKLEY W R CORP,6331,WRB
18428,DOW INC,6799,DOW
18551,BOATMENS BANCSHARES INC,6710,BOAT
19051,TRANSAMERICA CORP,6711,TA
19377,BENEFICIAL CORP,6140,BNL
19583,INVESCO LTD,6282,IVZ
20053,SYNOVUS FINANCIAL CORP,6021,SNV
20124,HOUSEHOLD INTERNATIONAL INC,6145,HI
20415,JEFFERIES FINANCIAL GROUP INC,6141,JEF
20482,ABBOTT LABORATORIES,6719,ABT
21004,G T E CORP,6711,GTE
21207,NEWMONT MINING CORP,6710,NEM
21274,GRUMMAN CORP,6711,GQ
21514,SONAT INC,6711,SNT
22032,COMPASS BANCSHARES INC,6711,CBSS
22947,CINERGY CORP,6719,CIN
23473,CINCINNATI FINANCIAL CORP,6330,CINF
23501,PEPCO HOLDINGS INC,6719,POM
24109,AMERICAN ELECTRIC POWER CO INC,6719,AEP
25081,COMERICA INC,6021,CMA
25267,ROYAL DUTCH PETROLEUM CO,6711,RD
25487,AVIS BUDGET GROUP INC,6531,CAR
26332,CONCORD E F S INC,6099,CE
26542,TENNECO INC,6719,TEN
26550,FIRST INTERSTATE BANCORP,6711,I
26710,LOEWS CORP,6331,L
27115,GREAT WESTERN FINANCIAL CORP,6123,GWF
27263,CORESTATES FINANCIAL CORP,6711,CFL
27596,SALOMON INC,6211,SB
27633,RYDER SYSTEMS INC,6159,R
27983,XEROX HOLDINGS CORP,6719,XRX
28388,VORNADO REALTY TRUST,6798,VNO
33312,SUNAMERICA INC,6552,SAI
34032,MASCO CORP,6282,MAS
34746,FIFTH THIRD BANCORP,6711,FITB
35044,REGIONS FINANCIAL CORP NEW,6021,RF
35554,M & T BANK CORP,6022,MTB
36127,FIRSTAR CORP NEW WIS,6710,FSR
36397,FIRST HORIZON CORP,6021,FHN
36469,WACHOVIA CORP 2ND NEW,6021,WB
37584,FRANKLIN RESOURCES INC,6282,BEN
38093,GALLAGHER ARTHUR J & CO,6411,AJG
38703,WELLS FARGO & CO NEW,6021,WFC
38973,WHITMAN CORP NEW,6711,PAS
39087,UNITED TELECOMMUNICATIONS INC,6711,S
39917,WEYERHAEUSER CO,6798,WY
41081,SHAWMUT NATIONAL CORP,6711,SNC
41443,ALLTEL CORP,6711,AT
41718,CHASE MANHATTAN CORP,6025,CMB
42906,HUNTINGTON BANCSHARES INC,6020,HBAN
45751,MARSH & MCLENNAN COS INC,6411,MMC
45970,ZURN INDUSTRIES INC,6711,ZRN
46594,USLIFE CORP,6711,USH
46658,CONTINENTAL CORP,6321,CIC
46703,HOST HOTELS & RESORTS INC,6798,HST
46850,AETNA INC,6311,AET
47079,CITICORP,6025,CCI
47159,FLEETBOSTON FINANCIAL CORP,6021,FBF
47626,C N A FINANCIAL CORP,6331,CNA
47896,JPMORGAN CHASE & CO,6021,JPM
48071,MORGAN J P & CO INC,6711,JPM
48354,BANKERS TRUST CORP,6021,BT
48397,AMERICAN GENERAL CORP,6300,AGC
48485,JEFFERSON PILOT CORP,6311,JP
48506,MOODYS CORP,6289,MCO
48653,HUMANA INC,6324,HUM
48725,UNION PACIFIC CORP,6711,UNP
49015,LINCOLN NATIONAL CORP,6311,LNC
49373,BLOCK H & R INC,6159,HRB
49656,BANK OF NEW YORK MELLON CORP,6022,BK
49680,DANAHER CORP,6799,DHR
49744,POTLATCH CORP NEW,6798,PCH
50024,WELLS FARGO & CO NEW,6025,WFC
50200,WACHOVIA CORP NEW,6021,WB
50956,U S F & G CORP,6331,FG
51043,FEDERAL NATIONAL MORTGAGE ASSN,6111,FNM
51588,SUMMIT BANCORP,6712,SUB
51625,SERVICE CORP INTERNATIONAL,6719,SCI
51706,MARSHALL & ILSLEY CORP NEW,6021,MI
51772,BANKBOSTON CORP,6021,BKB
52230,ROBERT HALF INTL INC,6160,RHI
52505,FIRST FIDELITY BANCORP NEW,6711,FFB
52708,LENNAR CORP,6552,LEN
52821,MERCANTILE BANCORPORATION INC,6022,MTL
52919,MERRILL LYNCH & CO INC,6211,MER
53081,PROVIDIAN CORP,6311,PVN
53479,GOLDEN WEST FINANCIAL CORP,6035,GDW
53858,FIRST CHICAGO CORP,6025,FNB
53938,REPUBLIC NEW YORK CORP,6025,RNB
54148,PULTE CORP,6552,PHM
54463,PAINE WEBBER GROUP INC,6211,PWJ
54690,STARWOOD HOTELS & REST WLDWD INC,6798,HOT
56232,NATIONAL CITY CORP,6021,NCC
56266,AHMANSON H F & CO,6711,AHM
56450,FIRST CHICAGO N B D CORP,6021,FCN
57904,AFLAC INC,6321,AFL
58094,NORTH FORK BANCORPORATION NY INC,6022,NFB
58246,NORTHERN TRUST CORP,6020,NTRS
58413,FEDERAL REALTY INVESTMENT TR NEW,6798,FRT
58472,TRANSCO ENERGY CO,6711,E
58683,SOUTHWEST AIRLINES CO,6331,LUV
58827,BANKAMERICA CORP,6025,BAC
58990,DOW JONES & CO INC,6000,DJ
59176,AMERICAN EXPRESS CO,6141,AXP
59192,CHUBB CORP,6331,CB
59300,U D R INC,6798,UDR
59345,OLD KENT FINANCIAL CORP,6711,OK
59379,MELLON FINANCIAL CORP,6021,MEL
59408,BANK OF AMERICA CORP,6021,BAC
59440,SAFECO CORP,6330,SAF
59459,TRAVELERS COMPANIES INC,6331,TRV
60442,P N C FINANCIAL SERVICES GRP INC,6021,PNC
61065,TOYS R US INC,6711,TOY
61284,BARNETT BANKS INC,6711,BBI
61583,JAMES RIVER CORP VA,6711,FJ
61735,AON PLC NEW,6411,AON
62148,C S X CORP,6711,CSX
62252,GENERAL RE CORP,6331,GRN
62308,GLOBE LIFE INC,6311,GL
62770,AMSOUTH BANCORPORATION,6711,ASO
63845,ALEXANDER & ALEXANDER SVCS INC,6411,AAL
64186,CIGNA GROUP,6324,CI
64311,NORFOLK SOUTHERN CORP,6711,NSC
64390,PROGRESSIVE CORP OH,6331,PGR
64451,ARCHSTONE SMITH TRUST,6798,ASN
64531,PROVIDENT COMPANIES INC,6311,PVT
64565,COUNTRYWIDE FINANCIAL CORP,6162,CFC
64653,PUBLIC STORAGE,6798,PSA
64995,KEYCORP NEW,6711,KEY
65138,BANK ONE CORP,6021,ONE
65330,LEGG MASON INC,6211,LM
65859,AMERICAN INFORMATION TECHS CORP,6711,AIT
65875,BELL ATLANTIC CORP,6711,VZ
65883,BELLSOUTH CORP,6711,BLS
65947,WELLTOWER INC,6798,WELL
66069,SANTA FE SOUTHN PAC CORP,6711,SFX
66157,U S BANCORP DEL,6021,USB
66325,S L M CORP,6111,SLM
66800,AMERICAN INTERNATIONAL GROUP INC,6331,AIG
67571,GREEN TREE FINANCIAL CORP,6162,GNT
67598,HEALTHPEAK PROPERTIES INC,6798,DOC
68144,SUNTRUST BANKS INC,6021,STI
68304,BEAR STEARNS COMPANIES INC,6211,BSC
69032,MORGAN STANLEY DEAN WITTER & CO,6211,MS
69649,RAYMOND JAMES FINANCIAL INC,6211,RJF
70033,HARLEY DAVIDSON INC,6733,HOG
70519,CITIGROUP INC,6021,C
70536,SIGMA ALDRICH CORP,6711,SIAL
71175,UNUM GROUP,6321,UNM
71298,BARRICK GOLD CORP,6726,GOLD
71563,TRUIST FINANCIAL CORP,6021,TFC
71686,SOUTHTRUST CORP,6020,SOTR
72726,STATE STREET CORP,6021,STT
75154,CARNIVAL CORP,6719,CCL
75175,M B I A INC,6351,MBI
75186,SCHWAB CHARLES CORP NEW,6211,SCHW
75333,BURLINGTON RESOURCES INC,6719,BR
75341,DUKE REALTY CORP,6798,DRE
75592,PLUM CREEK TIMBER CO INC,6798,PCL
75789,FEDERAL HOME LOAN MORTGAGE CORP,6111,FRE
75819,VENTAS INC,6798,VTR
76557,M B N A CORP,6021,KRB
76619,COVENTRY HEALTH CARE INC,6320,CVH
76639,TOTAL SYSTEM SERVICES INC,6153,TSS
76757,AMBAC FINANCIAL GROUP INC,6351,ABK
76804,M G I C INVESTMENT CORP WIS,6351,MTG
77129,KIMCO REALTY CORP,6798,KIM
77606,KOHLS CORP,6081,KSS
78263,UNION PLANTERS CORP,6021,UPC
78788,HOSPITALITY FRANCHISE SYS INC,6513,HFS
78927,SITE CENTERS CORP,6798,SITC
78946,DEAN WITTER DISCOVER & CO,6211,DWD
78968,UNITED STATES BANCORP,6711,USBC
79057,CHUBB LTD,6331,CB
79129,BROOKFIELD PROPERTY REIT INC,6798,BPYU
79323,ALLSTATE CORP,6331,ALL
79547,EQUITY RESIDENTIAL,6798,EQR
79782,REGENCY CENTERS CORP,6798,REG
80100,SIMON PROPERTY GROUP INC NEW,6798,SPG
80183,MID AMERICA APT COMMUNITIES INC,6798,MAA
80381,AVALONBAY COMMUNITIES INC,6798,AVB
80399,MACERICH CO,6798,MAC
80406,PROLOGIS,6798,PLD
80599,LEHMAN BROTHERS HOLDINGS INC,6211,LEH
80678,CASE CORP,6719,CSE
80681,ESSEX PROPERTY TRUST INC,6798,ESS
80711,APARTMENT INVESTMENT & MGMT CO,6798,AIV
81045,REALTY INCOME CORP,6798,O
81055,CAPITAL ONE FINANCIAL CORP,6712,COF
81262,CAREMARK RX INC,6324,CMX
81593,MR COOPER GROUP INC,6035,COOP
82303,EVEREST GROUP LTD,6321,EG
82651,WATERS CORP,6732,WAT
82775,HARTFORD FINANCIAL SVCS GRP INC,6331,HIG
83143,IRON MOUNTAIN INC NEW,6798,IRM
83440,ASSOCIATES FIRST CAPITAL CORP,6141,AFS
83443,BERKSHIRE HATHAWAY INC DEL,6331,BRK
83583,WELLPOINT HEALTH NETWRKS INC NEW,6324,WLP
83862,E TRADE FINANCIAL CORP,6211,ETFC
84036,SABRE GROUP HOLDINGS INC,6719,TSG
84129,ZIONS BANCORPORATION N A,6711,ZION
84767,ALEXANDRIA REAL EST EQUITIES INC,6798,ARE
85058,BXP INC,6798,BXP
85073,PROVIDIAN FINANCIAL CORP,6021,PVN
85238,EQUITY OFFICE PROPERTIES TRUST,6798,EOP
85265,S L GREEN REALTY CORP,6798,SLG
85271,AMERICAN CAPITAL LTD,6150,ACAS
85592,PROLOGIS INC,6798,PLD
85593,AFFILIATED MANAGERS GROUP INC,6282,AMG
85599,C I T GROUP INC,6153,CIT
86102,FEDERATED HERMES INC,6282,FHI
86111,AMERICAN TOWER CORP NEW,6798,AMT
86314,X L GROUP LTD,6351,XL
86339,CROWN CASTLE INC,6798,CCI
86845,COMMERCE BANCORP INC NJ,6021,CBH
86868,GOLDMAN SACHS GROUP INC,6211,GS
86976,CONSECO INC,6311,CNC
87070,HUDSON CITY BANCORP INC,6030,HCBK
87267,BLACKROCK INC NEW,6211,BLK
87536,HANCOCK JOHN FINANCIAL SVCS INC,6311,JHF
87842,METLIFE INC,6411,MET
88313,JANUS CAP GROUP INC,6282,JNS
88837,GARMIN LTD,6722,GRMN
88845,AETNA INC NEW,6324,AET
89017,WILLIS GROUP HOLDINGS PUB LTD CO,6411,WTW
89071,ACCENTURE PLC IRELAND,6719,ACN
89179,ELEVANCE HEALTH INC,6324,ELV
89195,PRINCIPAL FINANCIAL GROUP INC,6311,PFG
89258,PRUDENTIAL FINANCIAL INC,6311,PRU
89269,CENTENE CORP DEL,6324,CNC
89463,C I T GROUP INC NEW,6159,CIT
89495,TRAVELERS PPTY CASUALTY CORP NEW,6331,TAP
89626,C M E GROUP INC,6231,CME
90038,ASSURANT INC,6331,AIZ
90162,GENWORTH FINANCIAL INC,6311,GNW
90199,C B R E GROUP INC,6531,CBRE
90272,WELLCARE HEALTH PLANS INC,6324,WCG
90305,EXTRA SPACE STORAGE INC,6798,EXR
90352,DYNEGY INC NEW DEL,6712,DYN
90373,DIGITAL REALTY TRUST INC,6798,DLR
90454,MARKETAXESS HLDGS INC,6211,MKTX
90601,NASDAQ INC,6200,NDAQ
90880,AMERIPRISE FINANCIAL INC,6282,AMP
90993,INTERCONTINENTALEXCHANGE GRP INC,6231,ICE
91143,N Y S E EURONEXT,6231,NYX
91233,MASTERCARD INC,6153,MA
91388,REALOGY CORP,6531,H
91461,WESTERN UNION CO,6099,WU
91849,BROADRIDGE FINANCIAL SOLUTNS INC,6282,BR
92121,DISCOVER FINANCIAL SERVICES,6022,DFS
92402,M S C I INC,6799,MSCI
92611,VISA INC,6153,V
92655,UNITEDHEALTH GROUP INC,6324,UNH
93429,C B O E GLOBAL MARKETS INC,6211,CBOE
